DATE,VEHICLE,Site,PAYLOAD,ORBIT,Operator,Manufacture,Use,Comm'l Price,L,M,
10/19/2010,Soyuz 2 1A,Baikonur,*Globalstar2ndGen6,LEO,"Globalstar, Inc.",Thales Alenia Space,Communications,,S,S,
10/27/2010,Soyuz,Baikonur,Progress ISS 40P,LEO,Roscosmos,RSC Energia,ISS,,S,S,
10/28/2010,Ariane 5 ECA,Kourou,* BSAT 3B,GEO,Broadcasting SatelliteSystem Corp.,Lockheed Martin Corp.,Communications,,S,S,
10/28/2010,Ariane 5 ECA,Kourou,* Eutelsat W3B,GEO,Eutelsat,Thales Alenia Space,Communications,,S,F,
10/31/2010,Long March 3C,Xichang,Beidou 2-G4,GEO,CAST,CAST,Navigation,,S,S,
11/2/2010,Soyuz 2,Plesetsk,Meridian 3,ELI,Russian MoD,ISS Reshetnev,Communications,,S,S,
11/5/2010,Delta II 7420-10,VAFB,COSMO-SkyMed 4,LEO,Italian Space Agency (ASI),Thales Alenia Space,Remote Sensing,$95M,S,S,
11/5/2010,Long March 4B,Taiyuan,Fengyun 3B,SSO,China MeteorologicalAdministration,SBA,Meteorological,,S,S,
11/14/2010,Proton M,Baikonur,* SkyTerra-1,GEO,SkyTerra Communications,Boeing,Communications,$85M,S,S,
11/19/2010,Minotaur IV,Kodiak LaunchComplex,Space Test ProgramSatellite 26,LEO,USAF,Ball Aerospace,Development,,S,S,
11/21/2010,Delta IV Heavy,CCAFS,NRO L-32,LEO,NRO,USA,Classified,,S,S,
11/24/2010,Long March 3A,Xichang,Shen Tong 1-B,GEO,China MoD,CAST,Communications,,S,S,
11/26/2010,Ariane 5 ECA,Kourou,* Intelsat 17,GEO,Intelsat Orbital Sciences Corp.,,Communications,$220 ,S,S,
11/26/2010,Ariane 5 ECA,Kourou,* HYLAS,GEO,Avanti Screenmedia Group EADS Astrium,,Communications,,S,S,
12/5/2010,Proton M,Baikonur,Glonass M39,MEO,Russian MoD,ISS Reshetnev,Navigation,,F,F,
12/5/2010,Proton M,Baikonur,Glonass M40,MEO,Russian MoD,ISS Reshetnev,Navigation,,F,F,
12/5/2010,Proton M,Baikonur,Glonass M41,MEO,Russian MoD,ISS Reshetnev,Navigation,,F,F,
12/8/2010,Falcon 9,CCAFS,* Dragon COTS Demo 1,LEO,SpaceX,SpaceX,Development,$56M,S,S,
12/8/2010,Falcon 9,CCAFS,SMDC ONE,LEO,U.S. Army,U.S. Army,Classified,,S,S,
12/8/2010,Falcon 9,CCAFS,QbX-1,LEO,NRO,NRO,Classified,,S,S,
12/8/2010,Falcon 9,CCAFS,QbX-2,LEO,NRO,NRO,Classified,,S,S,
12/8/2010,Falcon 9,CCAFS,Perseus 000,LEO,Los Alamos National Lab.,Los Alamos National,Classified,,S,S,
12/8/2010,Falcon 9,CCAFS,Perseus 001,LEO,Los Alamos National Lab.,Los Alamos National,Classified,,S,S,
12/8/2010,Falcon 9,CCAFS,Perseus 002,LEO,Los Alamos National Lab.,Los Alamos National,Classified,,S,S,
12/8/2010,Falcon 9,CCAFS,Perseus 003,LEO,Los Alamos National Lab.,Los Alamos National,Classified,,S,S,
12/8/2010,Falcon 9,CCAFS,* Mayflower & CAERUS,LEO,Northrup Grumman,Northrup Grumman,Development/Communications,,S,S,
12/15/2010,Soyuz,Baikonur,Soyuz ISS 25S,LEO,Roscosmos,RSC Energia,ISS,,S,S,
12/16/2010,Long March 3A,Xichang,Beidou 2C/M1,MEO,China,CAST,Navigation,,S,S,
12/25/2010,GSLV,Satish DhawanSpace Center,* Insat 4D,GEO,ISRO,ISRO,Communications,,S,S,
12/26/2010,Proton M,Baikonur,* KA-SAT,GEO,Eutelsat,EADS Astrium,Communications,$85M,S,S,
