DATE,VEHICLE,Site,PAYLOAD,ORBIT,Operator,Manufacture,Use,Comm'l Price,L,M,
11/21/2013,Dnepr ,Dombarovskiy,DubaiSat 2,SSO,EIAST,Korean Advanced Institute of Science and Technology,Remote Sensing,$12M,S,S,
11/22/2013,Rockot ,Plesetsk,Swarm 1,LEO,European Space Agency,EADS Astrium,Scientific,$30M,S,S,
11/22/2013,Rockot ,Plesetsk,Swarm 2,LEO,European Space Agency,EADS Astrium,Scientific,,S,S,
11/22/2013,Rockot ,Plesetsk,Swarm 3,LEO,European Space Agency,EADS Astrium,Scientific,,S,S,
11/25/2013,Long March 2D ,Jiuquan,Shiyan Weixing-5,SSO,China - TBA,China - TBA,Remote Sensing,,S,S,
11/25/2013,Soyuz U2/ Progress,Baikonur,Progress M-21M,LEO,Russian Federal Space Agency (Roscosmos),RKK Energia,ISS,,S,S,
12/1/2013,Long March 3B ,Xichang,Chang'e 3 (Lander and Rover),EXT,China Academy of Space Technology (CAST),China Academy of Space Technology (CAST),Scientific,,S,S,
12/3/2013,Falcon 9 v1.1 ,CCAFS,*  SES-8,GEO,SES,Orbital Sciences Corp.,Communications,$56.5M,S,S,
12/5/2013,Atlas V 501 ,VAFB,NRO L-39,TBD,NRO,TBA,Classified,,S,S,
12/8/2013,Proton M/ Breeze-M,Baikonur,*   Inmarsat 5-F1,GEO,Inmarsat,Boeing Satellite Systems,Communications,$85M,S,S,
12/9/2013,Long March 4B ,Taiyuan,CBERS 3/Ziyuan-1C,SSO,INPE,China Academy of Space Technology (CAST),Remote Sensing,,F,F,
12/19/2013,Soyuz 2.1b ,Kourou,GAIA,EXT,European Space Agency,EADS Astrium,Scientific,,S,S,
12/20/2013,Long March 3B ,Xichang,*   Tupac Katari,GEO,Bolivian Space Agency,China Great Wall Industry Corp. (CGWIC),Communications,,S,S,
12/25/2013,Rockot ,Plesetsk,Cosmos 2488,LEO,Russian Space Forces (VKS),Reshetnev Company,Communications,,S,S,
12/25/2013,Rockot ,Plesetsk,Cosmos 2489,LEO,Russian Space Forces (VKS),Reshetnev Company,Communications,,S,S,
12/25/2013,Rockot ,Plesetsk,Cosmos 2489,LEO,Russian Space Forces (VKS),Reshetnev Company,Communications,,S,S,
12/26/2013,Proton M/ Breeze-M,Baikonur ,Express AM-5,GEO,Russian Satellite Communciation Co.,Reshetnev Company,Communications,,S,S,
12/28/2013,Soyuz 2.1v ,Plesetsk,AIST II,LEO,RKK Energia,RKK Energia,Development,,S,S,
12/28/2013,Soyuz 2.1v ,Plesetsk,SKRL-756 1,LEO,Russia - TBA,Russia - TBA,Test,,S,S,
12/28/2013,Soyuz 2.1v ,Plesetsk,SKRL-756 2,LEO,Russia - TBA,Russia - TBA,Test,,S,S,
1/5/2014,GSLV Mk.2," Satish Dhawan Space Center, Sriharikota, India",GSAT 14,GEO,ISRO,ISRO,Communications,,S,S,
1/6/2014,Falcon 9 v1.1," Cape Canaveral, FL, USA  ",Thaicom 6,GEO,Thaicom,Orbital Sciences Corp.,Communications,$61.2M,S,S,
1/9/2014,Antares 120, Wallops Island ,Cygnus/Orb 1,LEO,Orbital Sciences Corp.,Orbital Sciences Corp.,Cargo,$80M,S,S,
1/24/2014,Atlas 5-401," Cape Canaveral, FL, USA  ",TDRS-L,GEO,NASA,Boeing,Communications,,S,S,
2/5/2014,Soyuz U," Tyuratam/Baikonur, Kazakstahn",Progress M-22M,LEO,Roscosmos,RSC Energia,Cargo,,S,S,
2/6/2014,Ariane 5 ECA," Kourou, French Guyana",VA217/ABS2/Athena-Fidus,GEO,Itsalian Space Agency,Thales Alenia Space,Communications,$190M,S,S,
2/14/2014,Proton M/Briz M," Tyuratam/Baikonur, Kazakstahn",Turksat 4A,GEO,Turksat A.S,MELCO,Communications,$85M,S,S,
2/21/2014,"Delta 4M+4,2"," Cape Canaveral, FL, USA  ",GPS 2F-5,MEO,USAF,Boeing,Navigation,,S,S,
2/27/2014,H-2A-202," Tanageshima, Japan ",GPM Core Observatory,LEO,JAXA/NASA,"Nasa, JAXA, BALL Aerospace, NICT",Remote Sensing,,S,S,
3/15/2014,Proton M/Briz M," Tyuratam/Baikonur, Kazakstahn",Express AT1/AT2,GEO,RSCC,ISS Reshetnev,Communications,,S,S,
3/22/2014,Ariane 5 ECA," Kourou, French Guyana",VA216/Astra 5B/Amaz. 4A,GEO,SES,Airbus,Communications,,S,S,
3/23/2014,Soyuz 2-1b/Fregat," Plesetsk Northern Cosmodrome, Russia",Glonass M,MEO,Russian Aerospace Defence Forces,ISS Reshetnev,Navigation,,S,S,
3/25/2014,Soyuz FG," Tyuratam/Baikonur, Kazakstahn",Soyuz TMA-12M,LEO,Roscosmos,RSC Energia,Crewed,,S,S,
3/31/2014,CZ-2C," Ji Quan, China ",Shijian 11-06,SSO,PLA,CALT,Development,,S,S,
4/3/2014,Atlas 5-401," Vandenberg AFB, CA, USA",DMSP F19,LEO,USAF,Lockheed Martin Corp,Meteorological,,S,S,
4/3/2014,Soyuz 2-1a/Fregat," Kourou, French Guyana",Sentinal 1A,SSO,ESA,Thales Alenia Space,Scientific,,S,S,
4/4/2014,PSLV-XL," Satish Dhawan Space Center, Sriharikota, India",IRNSS 1B,GEO,ISRO,ISRO,Navigation,,S,S,
4/9/2014,Soyuz U," Tyuratam/Baikonur, Kazakstahn",Progress M-23M,LEO,Roscosmos,RSC Energia,Cargo,,S,S,
4/9/2014,Shavit 2," Palamchima, Isreal ",Ofek 10,LEO,IDF,IAI,IMINT,,S,S,
4/10/2014,Atlas 5-541," Cape Canaveral, FL, USA  ",NRO L-67,TBD,NRO,Classified,Classified,,S,S,
4/16/2014,Soyuz U," Tyuratam/Baikonur, Kazakstahn",Egyptsat 2,LEO,NARSS,RSC Energia,Remote Sensing,,S,S,
4/18/2014,Falcon 9 v1.1," Cape Canaveral, FL, USA  ",CRS-3 Dragon,LEO,SpaceX,SpaceX,Cargo,,S,S,
4/28/2014,Proton M/Briz M," Tyuratam/Baikonur, Kazakstahn",Luch 5v/Kazsat 3,GEO,Roscosmos,ISS Reshetnev,Communications,,S,S,
4/30/2014,Vega," Kourou, French Guyana",DZZ-HR,SSO,Kazakjstan Gharysh Sapary,Airbus,Remote Sensing,,S,S,
5/6/2014,Soyuz 2-1a," Plesetsk Northern Cosmodrome, Russia",Kobalt-M,LEO,Russian Aerospace Defence Forces,TsSKB Progress,IMINT,,S,S,
5/15/2014,Proton M/Briz M," Tyuratam/Baikonur, Kazakstahn",Ekspress AM4R,GEO,RSCC,ISS Reshetnev,Communications,,F,F,
5/17/2014,"Delta 4M+4,2"," Cape Canaveral, FL, USA  ",GPS 2F-6,MEO,USAF,Boeing,Navigation,,S,S,
5/22/2014,Atlas 5-401," Cape Canaveral, FL, USA  ",NROL-33,TBD,NRO,Classified,Classified,,S,S,
5/23/2014,Rokot/Briz KM," Plesetsk Northern Cosmodrome, Russia",Kosmos 2496-98 (Rodnik),LEO,Russian Aerospace Defence Forces,NPO PM,Communications,,S,S,
5/24/2014,H-2A-202," Tanageshima, Japan ",ALOS 2 + 4usats,SSO,JAXA,JAXA,Remote Sensing,,S,S,
5/26/2014,Zenit 3SL/DMSL, Pacific Ocean Range 154W-0N ,Eutelsat 3B,GEO,Eutelsat,Airbus,Communications,$95M,S,S,
5/28/2014,Soyuz FG," Tyuratam/Baikonur, Kazakstahn",Soyuz TMA-13M,LEO,Roscosmos,RSC Energia,Crewed,,S,S,
6/14/2014,Soyuz 2-1b/Fregat," Plesetsk Northern Cosmodrome, Russia",Glonass M,MEO,Russian Aerospace Defence Forces,ISS Reshetnev,Navigation,,S,S,
6/19/2014,Dnepr," Dombarovsky, Russia",Deimos 2 (37usats),SSO,Deimos Space,Satrec Initiative,Remote Sensing,,S,S,
6/30/2014,PSLV-CA," Satish Dhawan Space Center, Sriharikota, India",SPOT 7 (+4usats),SSO,Azercosmos,Airbus,Remote Sensing,,S,S,
7/2/2014,Delta 2,#N/A,OCO 2,SSO,NASA,Orbital Sciences Corp.,Remote Sensing,,S,S,
7/3/2014,Rokot/Briz KM," Plesetsk Northern Cosmodrome, Russia",3xGonet 3M,LEO,Roscosmos,NPO PM,Communications,,S,S,
7/8/2014,Soyuz 2-1b/Fregat," Tyuratam/Baikonur, Kazakstahn",Meteor M2 +6usats,SSO,Hydrometerological Center of Russia,NPP VNIIEM,Meteorological,,S,S,
7/10/2014,Soyuz 2-1b/Fregat," Kourou, French Guyana",VS08/O3bF2,MEO,O3b,Thales Alenia Space,Communications,$80M,S,S,
7/13/2014,Antares 120, Wallops Island ,Cygnus/Orb-2,LEO,Orbital Sciences Corp.,Orbital Sciences Corp.,Cargo,$80M,S,S,
7/14/2014,Falcon 9 v1.1," Cape Canaveral, FL, USA  ",Orbcomm OG2 (6sats),LEO,ORBCOMM,Sierra Nevada Corp.,Communications,$61.2M,S,S,
7/18/2014,Soyuz 2-1a," Tyuratam/Baikonur, Kazakstahn",Foton M4,LEO,Roscosmos,TsSKB Progress,Scientific,,S,S,
7/23/2014,Soyuz U," Tyuratam/Baikonur, Kazakstahn",Progress M-24M,LEO,Roscosmos,RSC Energia,Cargo,,S,S,
7/28/2014,"Delta 4M+4,2"," Cape Canaveral, FL, USA  ",2xGSSAP/ANGELS,GEO,USAF,Orbital Sciences Corp.,IMINT,,S,S,
7/29/2014,Ariane 5ES," Kourou, French Guyana",VA219/ATV 5,LEO,ESA,Airbus,Cargo,,S,S,
8/2/2014,Atlas 5-401," Cape Canaveral, FL, USA  ",GPS 2F7,MEO,USAF,Boeing,Navigation,,S,S,
8/5/2014,Falcon 9v1.1," Cape Canaveral, FL, USA  ",Asiasat 8,GEO,AsiaSat,Space Systems/Loral,Communications,$61.2M,S,S,
8/9/2014,CZ-4C," Ji Quan, China ",Yaogan 20,LEO,PLA,CAST,IMINT,,S,S,
8/13/2014,Atlas 5-401," Vandenberg AFB, CA, USA",Worldview 3,SSO,DigitalGlobe,Ball Aerospace,Remote Sensing,$150M,S,S,
8/19/2014,CZ-4B," Taiyuan, China ",Gaofen 2/BRITE-PL-2,SSO,CNSA,CAST,Remote Sensing,,S,S,
8/22/2014,Soyuz 2-1b/Fregat," Kourou, French Guyana",2xGalileo FOC-1,MEO,European Global Navigation Satellite System Agency,OHB System GmbH,Navigation,,F,F,
9/4/2014,CZ-2D," Ji Quan, China ",CX 1-04/Ling Qiao,SSO,Chinese Academy of Sciences,Chinese Academy of Sciences,Communications,,S,S,
9/7/2014,Falcon 9 v1.1," Cape Canaveral, FL, USA  ",Asiasat 6,GEO,AsiaSat,Space Systems/Loral,Communications,$61.2M,S,S,
9/8/2014,CZ-4B," Taiyuan, China ",Yaogan 21/Tiantuo 2,SSO,Chinese National Space Agency,CAST,IMINT,,S,S,
9/11/2014,Ariane 5 ECA," Kourou, French Guyana",VA218/Measat 3b/Optus 1,GEO,MEASAT Satellite Systems,Airbus,Communications,,S,S,
9/17/2014,Atlas 5-401," Cape Canaveral, FL, USA  ",CLIO,TBD,NRO,Classified,Classified,,S,S,
9/21/2014,Falcon 9 v1.1," Cape Canaveral, FL, USA  ",CRS-4 Dragon,LEO,SpaceX,SpaceX,Cargo,$61.2M,S,S,
9/25/2014,Soyuz FG," Tyuratam/Baikonur, Kazakstahn",Soyuz TMA-14M,LEO,Roscosmos,RSC Energia,Crewed,,S,S,
9/27/2014,Proton M/Briz M," Tyuratam/Baikonur, Kazakstahn",Olymp-K/Luch,GEO,Russian Aerospace Defence Forces,ISS Reshetnev,Communications,,S,S,
9/28/2014,CZ-2C," Ji Quan, China ",Shijian 11-07,SSO,PLA,Dongfanghong Satellite Co,Development,,S,S,
10/7/2014,H-2A-202," Tanageshima, Japan ",Himawari 8,GEO,Japan Meterological Agency,MELCO,Meteorological,,S,S,
10/15/2014,PSLV-XL," Satish Dhawan Space Center, Sriharikota, India",IRNSS 1C,GEO,ISRO,ISRO,Navigation,,S,S,
10/16/2014,Ariane 5 ECA," Kourou, French Guyana",VA220/Intlsat30/Arsat 1,GEO,Intelsat,Space Systems/Loral,Communications,$190M,S,S,
10/20/2014,CZ-4C," Taiyuan, China ",Yaogan 22,SSO,PLA,CAST,IMINT,,S,S,
10/21/2014,Proton M/Briz M," Tyuratam/Baikonur, Kazakstahn",Express AM6,GEO,RSCC,ISS Reshetnev,Communications,,S,S,
10/23/2014,CZ-3CE," Xi Chang, China ",Chang'e-5-T1,EXT,Chinese National Space Agency,CAST,Development,,S,S,
10/27/2014,CZ-2C," Ji Quan, China ",Shijian 11-08,SSO,PLA,Dongfanghong Satellite Co,Development,,S,S,
10/28/2014,Antares 130, Wallops Island ,Cygnus/Orb-3,LEO,Orbital Sciences Corp.,Orbital Sciences Corp.,Cargo,$80M,F,F,
10/29/2014,Soyuz 2-1A," Tyuratam/Baikonur, Kazakstahn",Progress M-25M,LEO,Roscosmos,RSC Energia,Cargo,,S,S,
10/29/2014,Atlas 5-401," Cape Canaveral, FL, USA  ",GPS 2F-8,MEO,USAF,Boeing,Navigation,,S,S,
10/30/2014,Soyuz 2-1A/Fregat," Plesetsk Northern Cosmodrome, Russia",Meridian 17L,ELI,Russian Aerospace Defence Forces,ISS Reshetnev,Communications,,S,S,
11/6/2014,Dnepr," Dombarovsky, Russia",ASNARO 1,SSO,J-spacesystems,NEC Corp.,Development,,S,S,
11/14/2014,CZ-2C," Taiyuan, China ",Yaogan 23,SSO,PLA,CAST,IMINT,,S,S,
11/20/2014,CZ-2D," Ji Quan, China ",Yaogan 24,SSO,PLA,CAST,IMINT,,S,S,
11/21/2014,Kuaizhou," Ji Quan, China ",Kuaizhou 2,LEO,Chinese Academy of Sciences,Chinese Academy of Sciences,Development,,S,S,
11/23/2014,Soyuz FG," Tyuratam/Baikonur, Kazakstahn",Soyuz TMA 15M,LEO,Roscosmos,RSC Energia,Crewed,,S,S,
11/30/2014,Soyuz 2-1b/Fregat," Plesetsk Northern Cosmodrome, Russia",Glonass K,MEO,Russian Aerospace Defence Forces,ISS Reshetnev,Navigation,,S,S,
12/3/2014,H-2A-202," Tanageshima, Japan ",Hayabusa 2,EXT,JAXA,NEC Corp.,Scientific,,S,S,
12/5/2014,Delta 4 Heavy," Cape Canaveral, FL, USA  ",EFT-1 (Orion),LEO,NASA,Lockheed Martin Corp,Development,$350M,S,S,
12/6/2014,Ariane 5 ECA," Kourou, French Guyana",DirecTV 14/GSAT 16,GEO,DirecTV,Space Systems/Loral,Communications,$190M,S,S,
12/7/2014,CZ-4B," Taiyuan, China ",CBERS 4,SSO,INPE/CASC,CASC,Remote Sensing,,S,S,
12/10/2014,CZ-4C," Ji Quan, China ",Yaogan 25,SSO,PLA,CAST,IMINT,,S,S,
12/13/2014,Atlas 5-541," Vandenberg AFB, CA, USA",NROL 35,TBD,NRO,Classified,Classified,,S,S,
12/15/2014,Proton M/Briz M," Tyuratam/Baikonur, Kazakstahn",Yamal 401,GEO,Gazprom Space Systems,Thales Alenia Space,Communications,,S,S,
12/18/2014,Soyuz 2-1b/Fregat," Kourou, French Guyana",4xO3b (F3),MEO,O3b,Thales Alenia Space,Communications,$80M,S,S,
12/19/2014,Strela," Tyuratam/Baikonur, Kazakstahn",Kondor-E,LEO,Roscosmos,NPO PM,Remote Sensing,,S,S,
12/23/2014,Angara A5/Briz M," Plesetsk Northern Cosmodrome, Russia",GVM Test Flight,LEO,Khurnichev,Khurnichev,Test,,S,S,
12/25/2014,Soyuz 2-1b," Plesetsk Northern Cosmodrome, Russia",Lotos-S,LEO,Russian Aerospace Defence Forces,"TsSKB Progress, KB Arsenal",ELINT,,S,S,
12/26/2014,Soyuz 2-1b," Tyuratam/Baikonur, Kazakstahn",Resurs P 2,SSO,Roscosmos,TsSKB Progress,Remote Sensing,,S,S,
12/27/2014,CZ-4B," Taiyuan, China ",Yaogan 26,SSO,PLA,CAST,IMINT,,S,S,
12/27/2014,Proton M/Briz M," Tyuratam/Baikonur, Kazakstahn",Astra 2G,GEO,SES,Airbus,Communications,$85M,S,S,
12/31/2014,CZ-3A," Xi Chang, China ",FY 2G,GEO,China Meteorological Administration,SAST,Meteorological,,S,S,
